tweet_id,dataset,crisis,country,year,original_label,mapped_label,hazard_type,hazard_cat,hazard_subcat,development,spread,lan_final
324746097576783873,CrisisLexT6,explosion_WestTexas,EEUU,2013,on-topic,Related,explosion,human_induced,accidental,instantaneous,focalized,en
541439409367703552,CrisisNlpR1_Vol,typhoon_Philippines_Hagupit,Philippines,2014,Other Relevant Information,Related,typhoon,natural,meteorological,progressive,diffused,no_agree
593828509409222656,CrisisNlpR1_CF,earthquake_Nepal,Nepal,2015,donation_needs_or_offers_or_volunteering_services,Related,earthquake,natural,geophysical,instantaneous,diffused,en
499055421588398080,CrisisNlpR1_CF,flood_India,India,2014,missing_trapped_or_found_people,Related,flood,natural,hydrological,progressive,diffused,en
592157246580097025,CrisisNlpR1_Vol,earthquake_Nepal,Nepal,2015,Not Relevant,Not_Related,earthquake,natural,geophysical,instantaneous,diffused,en
348304101639065600,CrisisLexT26,flood_Alberta,Canada,2013,Related and informative,Related,flood,natural,hydrological,progressive,diffused,en
407157237371895808,CrisisLexT26,trainCrash_NY,EEUU,2013,Related and informative,Related,derailment,human_induced,accidental,instantaneous,focalized,en
402722506794364928,SoSItalyT4,flood_Sardinia,Italy,2013,no damage,Related,flood,natural,hydrological,progressive,diffused,it
592704805539291136,CrisisNlpR1_Vol,earthquake_Nepal,Nepal,2015,Other Relevant Information,Related,earthquake,natural,geophysical,instantaneous,diffused,en
326414524720758784,CrisisLexT6,explosion_WestTexas,EEUU,2013,off-topic,Not_Related,explosion,human_induced,accidental,instantaneous,focalized,en
324938290769833984,CrisisLexT6,explosion_WestTexas,EEUU,2013,on-topic,Related,explosion,human_induced,accidental,instantaneous,focalized,en
324913271272525826,CrisisLexT6,explosion_WestTexas,EEUU,2013,on-topic,Related,explosion,human_induced,accidental,instantaneous,focalized,en
296929798880645121,CrisisLexT6,flood_Queensland,Australia,2013,off-topic,Not_Related,flood,natural,hydrological,progressive,diffused,en
909220520461180928,CrisisMMD,hurricane_Harvey,EEUU,2017,informative,Related,hurricane,natural,meteorological,progressive,diffused,en
909868174874624000,CrisisMMD,hurricane_Irma,several,2017,informative,Related,hurricane,natural,meteorological,progressive,diffused,en
336925201382133761,CrisisLexT6,tornado_Oklahoma,EEUU,2013,off-topic,Not_Related,tornado,natural,meteorological,progressive,diffused,en
541743692231348224,CrisisNlpR1_Vol,typhoon_Philippines_Hagupit,Philippines,2014,Not Informative,Not_Related,typhoon,natural,meteorological,progressive,diffused,en
296193561748176896,CrisisLexT6,flood_Queensland,Australia,2013,on-topic,Related,flood,natural,hydrological,progressive,diffused,en
721713540399140865,ESPOL_Ecuador_earthquake,earthquake_Ecuador,Ecuador,2016,no,Not_Related,earthquake,natural,geophysical,instantaneous,diffused,en
593604958769061888,CrisisNlpR1_CF,earthquake_Nepal,Nepal,2015,donation_needs_or_offers_or_volunteering_services,Related,earthquake,natural,geophysical,instantaneous,diffused,en
592157980218425344,CrisisNlpR1_CF,earthquake_Nepal,Nepal,2015,injured_or_dead_people,Related,earthquake,natural,geophysical,instantaneous,diffused,en
296362826145075200,CrisisLexT6,flood_Queensland,Australia,2013,on-topic,Related,flood,natural,hydrological,progressive,diffused,en
349428216596926467,CrisisLexT6,flood_Alberta,Canada,2013,off-topic,Not_Related,flood,natural,hydrological,progressive,diffused,en
721449892351184896,ESPOL_Ecuador_earthquake,earthquake_Ecuador,Ecuador,2016,no,Not_Related,earthquake,natural,geophysical,instantaneous,diffused,pt
383247389328289792,CrisisLexT26,flood_Colorado,EEUU,2013,Related and informative,Related,flood,natural,hydrological,progressive,diffused,en
326569004087001088,CrisisLexT6,explosion_WestTexas,EEUU,2013,off-topic,Not_Related,explosion,human_induced,accidental,instantaneous,focalized,en
295752957088124929,CrisisLexT6,flood_Queensland,Australia,2013,on-topic,Related,flood,natural,hydrological,progressive,diffused,en
350036885445427200,CrisisLexT6,flood_Alberta,Canada,2013,off-topic,Not_Related,flood,natural,hydrological,progressive,diffused,en
349261908706197505,CrisisLexT26,flood_Alberta,Canada,2013,Related and informative,Related,flood,natural,hydrological,progressive,diffused,en
393592493314297856,CrisisLexT26,bushfire_Australia,Australia,2013,Not related,Not_Related,wildfires,natural,climatological,progressive,diffused,en
296152976790274048,CrisisLexT6,flood_Queensland,Australia,2013,on-topic,Related,flood,natural,hydrological,progressive,diffused,en
324897104331939841,CrisisLexT6,bombing_Boston,EEUU,2013,off-topic,Not_Related,bombings,human_induced,intentional,instantaneous,focalized,en
325303560478793728,CrisisLexT6,bombing_Boston,EEUU,2013,on-topic,Related,bombings,human_induced,intentional,instantaneous,focalized,en
451952877745893376,CrisisNlpR1_Vol,earthquake_Chile,Chile,2014,"Personal updates, sympathy, support",Related,earthquake,natural,geophysical,instantaneous,diffused,es
324349767587090432,CrisisLexT6,bombing_Boston,EEUU,2013,off-topic,Not_Related,bombings,human_induced,intentional,instantaneous,focalized,en
351425480328609792,CrisisLexT6,flood_Alberta,Canada,2013,off-topic,Not_Related,flood,natural,hydrological,progressive,diffused,en
592999282657107968,CrisisNlpR1_Vol,earthquake_Nepal,Nepal,2015,Not Relevant,Not_Related,earthquake,natural,geophysical,instantaneous,diffused,en
240091792429694976,CrisisLexT26,explosion_Venezuela,Venezuela,2012,Related and informative,Related,explosion,human_induced,accidental,instantaneous,focalized,es
302330176111509504,CrisisLexT26,meteor_Russia,Russia,2013,Related and informative,Related,meteorite,natural,others,instantaneous,focalized,en
592085570052042752,CrisisNlpR1_Vol,earthquake_Nepal,Nepal,2015,Not Relevant,Not_Related,earthquake,natural,geophysical,instantaneous,diffused,en
323873838771363840,CrisisLexT6,bombing_Boston,EEUU,2013,off-topic,Not_Related,bombings,human_induced,intentional,instantaneous,focalized,en
592797424932003840,CrisisNlpR1_Vol,earthquake_Nepal,Nepal,2015,Not Relevant,Not_Related,earthquake,natural,geophysical,instantaneous,diffused,en
498519065426542594,CrisisNlpR1_CF,flood_India,India,2014,injured_or_dead_people,Related,flood,natural,hydrological,progressive,diffused,en
497987692538236928,CrisisNlpR1_CF,ebola_virus,several,2014,other_useful_information,Related,viral_disease,natural,Biological,progressive,diffused,en
505140975291752449,CrisisNlpR1_CF,earthquake_California,EEUU,2014,not_related_or_irrelevant,Not_Related,earthquake,natural,geophysical,instantaneous,diffused,en
239517608976723968,CrisisLexT26,explosion_Venezuela,Venezuela,2012,Related - but not informative,Related,explosion,human_induced,accidental,instantaneous,focalized,es
296278356595449856,CrisisLexT6,flood_Queensland,Australia,2013,on-topic,Related,flood,natural,hydrological,progressive,diffused,en
324579952173404161,CrisisLexT26,bombing_Boston,EEUU,2013,Related and informative,Related,bombings,human_induced,intentional,instantaneous,focalized,en
593243945095725056,CrisisNlpR1_Vol,earthquake_Nepal,Nepal,2015,Not Relevant,Not_Related,earthquake,natural,geophysical,instantaneous,diffused,en
324843001136418816,CrisisLexT6,explosion_WestTexas,EEUU,2013,on-topic,Related,explosion,human_induced,accidental,instantaneous,focalized,en
325114925972344833,CrisisLexT6,explosion_WestTexas,EEUU,2013,off-topic,Not_Related,explosion,human_induced,accidental,instantaneous,focalized,en
324338265446559744,CrisisLexT6,bombing_Boston,EEUU,2013,off-topic,Not_Related,bombings,human_induced,intentional,instantaneous,focalized,en
325447477400592384,CrisisLexT6,explosion_WestTexas,EEUU,2013,off-topic,Not_Related,explosion,human_induced,accidental,instantaneous,focalized,en
542353000618917888,CrisisNlpR1_Vol,typhoon_Philippines_Hagupit,Philippines,2014,Not Informative,Not_Related,typhoon,natural,meteorological,progressive,diffused,en
402781429077409792,CrisisLexT26,flood_Sardinia,Italy,2013,Related - but not informative,Related,flood,natural,hydrological,progressive,diffused,it
503860831092621312,CrisisNlpR1_CF,earthquake_California,EEUU,2014,caution_and_advice,Related,earthquake,natural,geophysical,instantaneous,diffused,en
403857791757991936,SoSItalyT4,flood_Sardinia,Italy,2013,damage,Related,flood,natural,hydrological,progressive,diffused,it
339174721792921600,CrisisLexT6,tornado_Oklahoma,EEUU,2013,off-topic,Not_Related,tornado,natural,meteorological,progressive,diffused,en
360191782572662786,CrisisLexT26,trainCrash_Spain,Spain,2013,Related - but not informative,Related,derailment,human_induced,accidental,instantaneous,focalized,es
204046102108979200,SoSItalyT4,earthquake_Italy,Italy,2012,no damage,Related,earthquake,natural,geophysical,instantaneous,diffused,it
369820700787220480,CrisisLexT26,flood_Manila,Philippines,2013,Related - but not informative,Related,flood,natural,hydrological,progressive,diffused,tl
324705952752349185,CrisisLexT6,explosion_WestTexas,EEUU,2013,on-topic,Related,explosion,human_induced,accidental,instantaneous,focalized,en
338863874734444545,CrisisLexT6,tornado_Oklahoma,EEUU,2013,off-topic,Not_Related,tornado,natural,meteorological,progressive,diffused,en
326186814798966785,CrisisLexT6,explosion_WestTexas,EEUU,2013,off-topic,Not_Related,explosion,human_induced,accidental,instantaneous,focalized,en
497417542575472640,CrisisNlpR1_Vol,Landslides_Worldwide,several,2014,Not physical landslide,Not_Related,landslide,natural,Hydrological,instantaneous,focalized,en
336761589426450433,CrisisLexT6,tornado_Oklahoma,EEUU,2013,on-topic,Related,tornado,natural,meteorological,progressive,diffused,en
324718746163875841,CrisisLexT6,explosion_WestTexas,EEUU,2013,on-topic,Related,explosion,human_induced,accidental,instantaneous,focalized,en
913879651398930432,CrisisMMD,hurricane_Maria,several,2017,informative,Related,hurricane,natural,meteorological,progressive,diffused,en
461961918836518912,CrisisNlpR1_CF,Middle_East_Respiratory_Syndrome,several,2014,treatment,Related,viral_disease,natural,Biological,progressive,diffused,en
1463905585,SoSItalyT4,earthquake_Laquila,Italy,2009,no damage,Related,earthquake,natural,geophysical,instantaneous,diffused,it
263075880530755584,CrisisLexT6,hurricane_Sandy,several,2012,off-topic,Not_Related,hurricane,natural,meteorological,progressive,diffused,en
327573380012314624,CrisisLexT6,explosion_WestTexas,EEUU,2013,off-topic,Not_Related,explosion,human_induced,accidental,instantaneous,focalized,en
204044389763383296,SoSItalyT4,earthquake_Italy,Italy,2012,no damage,Related,earthquake,natural,geophysical,instantaneous,diffused,it
337593312829657090,CrisisLexT6,tornado_Oklahoma,EEUU,2013,on-topic,Related,tornado,natural,meteorological,progressive,diffused,en
593180787844886528,CrisisNlpR1_Vol,earthquake_Nepal,Nepal,2015,Not Relevant,Not_Related,earthquake,natural,geophysical,instantaneous,diffused,en
592751228830019584,CrisisNlpR1_Vol,earthquake_Nepal,Nepal,2015,Not Relevant,Not_Related,earthquake,natural,geophysical,instantaneous,diffused,en
324373809064996864,CrisisLexT6,bombing_Boston,EEUU,2013,on-topic,Related,bombings,human_induced,intentional,instantaneous,focalized,en
911954851298496512,CrisisMMD,hurricane_Maria,several,2017,informative,Related,hurricane,natural,meteorological,progressive,diffused,en
504747441678467074,CrisisNlpR1_CF,earthquake_California,EEUU,2014,not_related_or_irrelevant,Not_Related,earthquake,natural,geophysical,instantaneous,diffused,en
522489041301028864,CrisisNlpR1_CF,ebola_virus,several,2014,other_useful_information,Related,viral_disease,natural,Biological,progressive,diffused,en
592836132297003008,CrisisNlpR1_Vol,earthquake_Nepal,Nepal,2015,Other Relevant Information,Related,earthquake,natural,geophysical,instantaneous,diffused,en
325087956035584000,CrisisLexT6,bombing_Boston,EEUU,2013,on-topic,Related,bombings,human_induced,intentional,instantaneous,focalized,en
324659475539689473,CrisisLexT6,bombing_Boston,EEUU,2013,on-topic,Related,bombings,human_induced,intentional,instantaneous,focalized,en
324634527257481218,CrisisLexT6,bombing_Boston,EEUU,2013,on-topic,Related,bombings,human_induced,intentional,instantaneous,focalized,en
327550392370069505,CrisisLexT6,explosion_WestTexas,EEUU,2013,off-topic,Not_Related,explosion,human_induced,accidental,instantaneous,focalized,en
349522577875664897,CrisisLexT6,flood_Alberta,Canada,2013,on-topic,Related,flood,natural,hydrological,progressive,diffused,en
576339867702951936,CrisisNlpR1_Vol,cyclone_Vanuatu_Pam,Vanuatu,2015,Not related or irrelevant,Not_Related,cyclone,natural,meteorological,progressive,diffused,en
